dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,BII,1,5,fourier,1,0.01544633402954787
AdultCensusLocalXAI,BII,1,5,fourier,2,0.01566350000211969
AdultCensusLocalXAI,BII,1,5,fourier,3,0.01560820802114904
AdultCensusLocalXAI,BII,1,5,fourier,4,0.01666933303931728
AdultCensusLocalXAI,BII,1,5,fourier,5,0.015549083997029811
AdultCensusLocalXAI,BII,1,5,interventional,1,0.00027716701151803136
AdultCensusLocalXAI,BII,1,5,interventional,2,0.00030208402313292027
AdultCensusLocalXAI,BII,1,5,interventional,3,0.00024191697593778372
AdultCensusLocalXAI,BII,1,5,interventional,4,0.00021937501151114702
AdultCensusLocalXAI,BII,1,5,interventional,5,0.00020987499738112092
AdultCensusLocalXAI,BII,1,6,fourier,1,0.04995820904150605
AdultCensusLocalXAI,BII,1,6,fourier,2,0.05181133298901841
AdultCensusLocalXAI,BII,1,6,fourier,3,0.050700249965302646
AdultCensusLocalXAI,BII,1,6,fourier,4,0.051274500030558556
AdultCensusLocalXAI,BII,1,6,fourier,5,0.05045104201417416
AdultCensusLocalXAI,BII,1,6,interventional,1,0.0004964999970979989
AdultCensusLocalXAI,BII,1,6,interventional,2,0.0004552500322461128
AdultCensusLocalXAI,BII,1,6,interventional,3,0.0002871250035241246
AdultCensusLocalXAI,BII,1,6,interventional,4,0.00030462502036243677
AdultCensusLocalXAI,BII,1,6,interventional,5,0.00026045896811410785
AdultCensusLocalXAI,BII,1,7,fourier,1,0.158101583016105
AdultCensusLocalXAI,BII,1,7,fourier,2,0.16398208402097225
AdultCensusLocalXAI,BII,1,7,fourier,3,0.1631498329807073
AdultCensusLocalXAI,BII,1,7,fourier,4,0.16378445801092312
AdultCensusLocalXAI,BII,1,7,fourier,5,0.16122112498851493
AdultCensusLocalXAI,BII,1,7,interventional,1,0.0009092919644899666
AdultCensusLocalXAI,BII,1,7,interventional,2,0.0004493329906836152
AdultCensusLocalXAI,BII,1,7,interventional,3,0.0004206660087220371
AdultCensusLocalXAI,BII,1,7,interventional,4,0.0004142080433666706
AdultCensusLocalXAI,BII,1,7,interventional,5,0.0004218340036459267
AdultCensusLocalXAI,BII,1,8,fourier,1,0.4502882909728214
AdultCensusLocalXAI,BII,1,8,fourier,2,0.4695024590473622
AdultCensusLocalXAI,BII,1,8,fourier,3,0.4724954169942066
AdultCensusLocalXAI,BII,1,8,fourier,4,0.4679215000360273
AdultCensusLocalXAI,BII,1,8,fourier,5,0.46271295798942447
